nameid,pid,language,attested,romanized,summary,association_certainty,name_type,transcription_accuracy,transcription_completeness,details,slug,creators,contributors
1,1004,ar,خليج البنادقة,Khalig al-bunadiqa,,,,,,Literal translation: Venetian Gulf,,vvitale,
2,1004,ar,البحر الأدرياتيكي,Al-bachr al-Adriyatiki,,,,,,,,vvitale,
3,1004,ar-Latn,Baḥr Adriyās,,,,,,,,,vvitale,
4,1043,ar,البحر الرومي,Al-bachr ar-rumi,,,,,,Literal translation: Roman Sea,,vvitale,
5,1043,ar,البحرالشامي,Al-bachr ash-shami,,,,,,Literal translation: Syrian Sea,,vvitale,
6,1094,ar,لنبدوشة,Lanbedusha,,,,,,,,vvitale,
7,1224,ar,بحر نيطش,Bachr Nitsh,,,,,,,,vvitale,
8,29713,fa,درياي فارس,Dryai Fars,,,,,,,,vvitale,
9,29802,fa,كرمان,Kirman,,,,,,,,vvitale,
10,39290,ar,بحر القلزم,Bachr al-Qulzum,,,,,,"Literal translation: Sea of Qulzun. It may seem more appropriate to link this name to the Gulf of Suez, but it is translated as ""Red Sea"" in the English version of the original Arabic text.",,vvitale,
11,39290,ar,بحر السويس,Bachr as-Suis,,,,,,"Literal translation: Sea of Suis. It may seem more appropriate to link this name to the Gulf of Suez, but it is translated as ""Red Sea"" in the English version of the original Arabic text.",,vvitale,
12,39290,ar,البحر الأحمر,al-bachr al-Achmar,,,,,,Literal translation: Red Sea,,vvitale,
13,39352,ar,البحر الصيني,Al-bachr as-sini,,,,,,Literal translation: Chinese Sea,,vvitale,
14,39352,ar,البحرالهندي,Al-bachr al-hindi,,,,,,Literal translation: Indian Sea,,vvitale,
15,39352,ar,البحر الحبشي,Al-bachr al-chabishi,,,,,,Literal translation: Abyssinian Sea,,vvitale,
16,118569,ar,إنكلاية,Inkilaiya,,,,,,,,vvitale,
17,236361,ar,أيلة,Aila,,,,,,,,vvitale,
18,236361,ar,آبلة,Abila,,,,,,,,vvitale,
19,236577,ar,سمورة,Samura,,,,,,,,vvitale,
20,236642,ar,سلمنكة,Salamanka,,,,,,,,vvitale,
